﻿﻿﻿﻿﻿﻿﻿﻿Title,PostURL,CompanyName,CompanyURL,Expire Date,Location,Career Requirement,Education Requirement,Job Type
백엔드 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45370372&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,(주)한국정보보호경영연구소,https://www.saramin.co.kr/zf_user/company-info/view?csn=Sk0rTHlLeSt1QlB6ZEZSbU9SeWlOdz09,~ 04/28(금),서울 강남구,경력무관,대졸↑,정규직·인턴직
인공지능/데이터분석 컨텐츠랩 연구원을 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45406210&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,(주)핀인사이트,https://www.saramin.co.kr/zf_user/company-info/view?csn=Q3ZDNlNVUXFhN1ZqSTZyUDhWc1c4QT09,~ 04/28(금),서울 동작구,경력무관,대졸↑,정규직
[헥토] AI 및 빅데이터 분석 업무,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45265690&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,(주)헥토,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZFlXM0w5WFdBNUxETjcvSkF4TGVWdz09,~ 05/13(토),서울 강남구,경력무관,대졸↑,정규직
웹퍼블리셔 채용(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45320977&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,미림미디어랩(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=MW9XMnJPLzFRV0hrVnJOdC9ocFczUT09,~ 04/21(금),서울 강서구,신입·경력,학력무관,정규직
정규직[로봇IT/상장기업 자회사]티라로보틱스 2023 상반기 공채,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45304674&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,(주)휴먼코아,https://www.saramin.co.kr/zf_user/company-info/view?csn=S3Z3QUJoQmhhQlZMQ3I0TWtzeHJEdz09,~ 04/10(월),경기 성남시 중원구,경력무관,초대졸↑,정규직
[NE능률] (Blended Learning 사업본부) 서비스 기획 경력자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45391609&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,(주)NE능률,https://www.saramin.co.kr/zf_user/company-info/view?csn=dldoYTVSbnUrMktSUHpjTEpPT2J5dz09,~ 04/30(일),서울 마포구,경력,대졸↑,정규직
[LG1차협력사 등 취업]AI SW개발/CAD·CAM/자동화국비교육생모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45302114&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,대한상공회의소 광주인력개발원,https://www.saramin.co.kr/zf_user/company-info/view?csn=ek5LL1I3WHNSYm1LS1Y1L1VLMnRjQT09,~ 06/07(수),광주 광산구,경력무관,학력무관,교육생
프로그램 유지보수 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45403882&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,서울감정평가법인(주),https://www.saramin.co.kr/zf_user/company-info/view﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿?csn=UEU3WmZqcDMvdTVRVGhKUU9ENitqZz09,~ 05/02(화),서울 서초구,신입,고졸↑,정규직
인공지능(AI)·빅데이터 과학팀 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45357967&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,(주)메디치소프트,https://www.saramin.co.kr/zf_user/company-info/view?csn=TG1LcmdzYmExWmFSUEhqWmtvZGdTdz09,~ 04/26(수),서울 영등포구,경력무관,대졸↑,정규직·계약직
[경력] Database 관리 경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45148197&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,(주)교보문고,https://www.saramin.co.kr/zf_user/company-info/view?csn=TDdQY3Y0NVZVZnJ6Mkx0dTA4QU5OQT09,~ 12/31(일),서울 마포구,경력3년↑,대졸↑,정규직·계약직
ABI오비맥주 Project Manager - Manufacturing Digitalization,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45374451&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,오비맥주(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=NExiLzVMbHFHL3plZFk5WHJQb3R5QT09,채용시,충북 청주시 서원구,경력5년↑,대졸↑,정규직
